Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID
201510068949,8,otc alterations permit,10/06/2015,0298,030,765,,Sutter,St,,,extend 10 heads and 1 relocate 3 head. from the (e) fire sprinkler system unit #101:,complete,10/30/2015,10/06/2015,10/08/2015,10/30/2015,10/08/2015,,4.0,4.0,,Y,10/02/2016,6000.0,6000.0,apartments,24.0,apartments,24.0,2.0,,3.0,constr type 3,3.0,constr type 3,,3.0,Nob Hill,94109.0,"(37.788395478058604, -122.41291512241715)",139828667198
201507070763,8,otc alterations permit,07/07/2015,0247,027,1359,C,Sacramento,St,,,"unit #c3: remodel (e) kitchen, upgrade electrical for kitchen, replace total 3 windows (not facing to street), vinyl windows, u-factor shall not exceed .32",complete,08/10/2015,07/07/2015,07/07/2015,08/10/2015,07/07/2015,,3.0,3.0,,,07/01/2016,8000.0,18000.0,apartments,15.0,apartments,15.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,3.0,Nob Hill,94109.0,"(37.79205318365628, -122.41525105352643)",1387478233171
201408042910,8,otc alterations permit,08/04/2014,5324,003,1404,,Palou,Av,,,reroofing,complete,08/06/2014,08/04/2014,08/04/2014,08/06/2014,08/04/2014,,2.0,2.0,,,07/30/2015,3500.0,3500.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,10.0,Bayview Hunters Point,94124.0,"(37.732211173970285, -122.3872499277975)",1351074179215
201704264962,8,otc alterations permit,04/26/2017,5501,054,3101,,Mission,St,,,"apt 25: to comply with complaint 201766831, item #2: water intrusion remediation.",complete,06/01/2017,04/26/2017,04/26/2017,06/01/2017,04/26/2017,,5.0,5.0,,,04/21/2018,2000.0,2000.0,apartments,53.0,apartments,53.0,0.0,,1.0,constr type 1,1.0,constr type 1,,,,,,1460915182872
201701247785,8,otc alterations permit,01/24/2017,3646,022,3543,,23rd,St,,,soft story retrofit per sfbc chapter 34b engineering criteria: 2016 iebc appendix a-4,complete,07/28/2017,01/24/2017,02/21/2017,07/28/2017,02/21/2017,,3.0,3.0,,,02/06/2020,20000.0,105000.0,apartments,5.0,apartments,5.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Mission,94110.0,"(37.75336719552417, -122.42230230825757)",1451132163846
201704113667,8,otc alterations permit,04/11/2017,3983,032,116,,Connecticut,St,1.0,,replace 10 windows and two patio doors units 2-3 no structural changes max u factor .32 to match unit 1 fiberglass frames,complete,09/25/2017,04/11/2017,05/09/2017,09/25/2017,05/09/2017,,3.0,3.0,,,05/04/2018,10000.0,10000.0,apartments,3.0,apartments,3.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,10.0,Potrero Hill,94107.0,"(37.764652699695134, -122.39800692932853)",1459136168346
201607152480,8,otc alterations permit,07/15/2016,4103,050,511,,Mississippi,St,,,"to obtain a final inspection for work approved under pa# 201307010907, 201310219786, 201311121696. all work is complete.",complete,07/22/2016,07/15/2016,07/15/2016,07/22/2016,07/15/2016,,2.0,2.0,,,07/10/2017,1.0,1.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,10.0,Potrero Hill,94107.0,"(37.75990104770325, -122.39401469943957)",1430211170808
201611072098,8,otc alterations permit,11/07/2016,2805,038,4261,,23rd,St,,,1) first story infill addition under extg cantilevered 2nd floor. 2) first story infill addition of extg side lightwell. 3) new exterior entry stair to replace extg. 4) front facade alterations. 5)full foundation replacement. 6)interior remodel throughout.,complete,11/02/2017,11/07/2016,11/10/2016,11/02/2017,11/10/2016,,2.0,2.0,,,10/26/2019,200000.0,200000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Noe Valley,94114.0,"(37.75243585876289, -122.437760162941)",1443484144724
201505126060,8,otc alterations permit,05/12/2015,3775,211,1,,South Park,,406.0,,relocate 1 existing minihorn due to tenant improvement in unit 406. ref 201502198728; maher n/a,complete,11/13/2015,05/12/2015,05/13/2015,11/13/2015,05/13/2015,,5.0,5.0,,Y,05/07/2016,500.0,500.0,apartments,34.0,apartments,34.0,2.0,,3.0,constr type 3,3.0,constr type 3,,6.0,Financial District/South Beach,94107.0,"(37.782053104288714, -122.39283478645783)",1381293470686
201703060766,3,additions alterations or repairs,03/06/2017,0237,013,220,,Battery,St,,,"vertical extension. an addition of 3 stories configure as 2 town house units (side by side) with roof deck on top of (e) 2 story bldg. each town house to include: master bed/bath, office, 2 bedrooms with share bath, media room, kitchen, dining & living room, roof deck.** maher: n/a **",filed,03/06/2017,03/06/2017,,,,Y,2.0,5.0,,,,1800000.0,,retail sales,0.0,2 family dwelling,2.0,2.0,,3.0,constr type 3,3.0,constr type 3,Y,3.0,Financial District/South Beach,94111.0,"(37.79365157229816, -122.39979317045452)",145519563380
201510220526,8,otc alterations permit,10/22/2015,3525,074A,212,,Dore,St,,,"to comply with nov# 201571471. fire damaged exterior side wall in kind, remove & replace damaged interior door. n/a ordinance #155-13.",complete,08/03/2016,10/22/2015,10/27/2015,08/03/2016,10/27/2015,,3.0,3.0,,,10/11/2018,150000.0,150000.0,apartments,6.0,apartments,6.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,6.0,South of Market,94103.0,"(37.77176730467421, -122.41049088993064)",1400412281978
201412083211,8,otc alterations permit,12/08/2014,2366,012,2347,,37th,Av,,,"construct two bed rms, exercise room, storage rm, two full bathrooms and one half bath room, all work at ground floor.",complete,04/28/2015,12/08/2014,12/08/2014,04/28/2015,12/08/2014,,2.0,2.0,,,12/03/2015,55000.0,80000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,4.0,Sunset/Parkside,94116.0,"(37.74315356341483, -122.49537472702866)",1364507132809
201509146836,8,otc alterations permit,09/14/2015,0068,004,2341,,Leavenworth,St,,,3 fibrex windows non visible ufactor .32. no size change,issued,09/14/2015,09/14/2015,09/14/2015,,09/14/2015,,2.0,2.0,,,09/08/2016,7406.0,7406.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,2.0,Russian Hill,94109.0,"(37.802741384046016, -122.41838516897498)",139551657540
201510159786,8,otc alterations permit,10/15/2015,2419,004G,2554,,19th,Av,,,removal of fascia board in back of building for flashing install.,issued,10/15/2015,10/15/2015,10/15/2015,,10/15/2015,,2.0,2.0,,,10/09/2016,500.0,500.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,7.0,West of Twin Peaks,94116.0,"(37.740170163804564, -122.47512052008759)",1399412135277
201612084480,8,otc alterations permit,12/08/2016,7331,010,16,,Summit,Wy,,,"construction of fire sprinklers system . mstr permit type ""d1"" 2012-0911-9426. master fire sprinkler permit 2016-0923-8678 and bldg plot plan 2016-0504-6478. as builts may be req per fire inspector",complete,07/27/2017,12/08/2016,12/15/2016,07/27/2017,12/15/2016,,,4.0,,Y,12/10/2017,1.0,28870.0,vacant lot,,1 family dwelling,1.0,0.0,,,,5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.71447740953803, -122.47445882427745)",1446795498480
201312184515,8,otc alterations permit,12/18/2013,2796,035,536,,Panorama,Dr,,,reroofing,complete,11/13/2014,12/18/2013,12/18/2013,11/13/2014,12/18/2013,,2.0,2.0,,,12/13/2014,8000.0,8000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,7.0,Twin Peaks,94131.0,"(37.75330802602818, -122.45031560348325)",1327505144404
201604275787,8,otc alterations permit,04/27/2016,1629,019,1446,,Cabrillo,St,,,per h.r. wellington pest rpt#20132065 item 4a: fungus damage througout portions of the rear wooden stairs & landing.r emove damaged portion and replace with new in-kin materior. no painting included. repair less than 50% on stairs & landing.,cancelled,07/13/2016,04/27/2016,04/27/2016,,04/27/2016,,3.0,3.0,,,04/22/2017,500.0,500.0,apartments,4.0,apartments,4.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,1.0,Outer Richmond,94118.0,"(37.77504411683244, -122.4744504624181)",1421055272915
201702088938,8,otc alterations permit,02/08/2017,2625,019,55,,Ord,St,,,remodel of entry: replace (e) stair to basement; relocate entry door; remove (e) interior spiral stair to basement; infill spiral stairwell (interior).,issued,04/06/2017,02/08/2017,04/06/2017,,04/06/2017,,2.0,2.0,,,04/01/2018,30000.0,30000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Castro/Upper Market,94114.0,"(37.76291787453865, -122.44003231298204)",1452683140002
201606160136,8,otc alterations permit,06/16/2016,3581,001,3801,,17th,St,,,"ti at ground floor: demo (e) interiors, new dining, kitchen, hood, plumbing, electrical, equip & millwork.",complete,08/04/2017,06/16/2016,09/23/2016,08/04/2017,09/23/2016,,2.0,2.0,,,09/08/2019,97000.0,121000.0,office,2.0,office,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Castro/Upper Market,94114.0,"(37.76261359201396, -122.43094323114012)",1436747507321
201705237380,4,sign - erect,05/23/2017,0351,001,1100,,Market,St,,,"erect single faced electric sign for ""1100 market street"". n/a ordinance #155-13",filed,05/23/2017,05/23/2017,,,,,7.0,,,,,1000.0,,tourist hotel/motel,135.0,,,2.0,,1.0,constr type 1,,,,6.0,Tenderloin,94102.0,"(37.78087635535436, -122.41245598318183)",146419370098
201409105934,8,otc alterations permit,09/10/2014,2176,055,3225,,Quintara,St,,,reroofing,complete,09/30/2014,09/10/2014,09/10/2014,09/30/2014,09/10/2014,,1.0,1.0,,,09/05/2015,14000.0,14000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,4.0,Sunset/Parkside,94116.0,"(37.74733682333291, -122.50013080169671)",1355018128765
201712055587,8,otc alterations permit,12/05/2017,3504,001,1655,,Market,St,,,"removal of deep fryer from the kitchen and griller, addition of tandoor oven in the kitchen. addition of salamander in the kitchen, addition of high pressure burner for new restaurant tenant",filed,12/05/2017,12/05/2017,,,,,5.0,5.0,,,,7000.0,0.0,food/beverage hndlng,64.0,food/beverage hndlng,64.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,6.0,Mission,94103.0,"(37.773212927938594, -122.42111735958731)",1489439460232
201703312867,8,otc alterations permit,03/31/2017,1670,012E,874,,28th,Av,,,replace garage door in kind. no structural changes are proposed.,issued,03/31/2017,03/31/2017,03/31/2017,,03/31/2017,,2.0,2.0,,,03/26/2018,2200.0,2200.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,1.0,Outer Richmond,94121.0,"(37.77292779453385, -122.48710572481579)",1458025109441
M874047,8,otc alterations permit,01/08/2018,0194,032,627,,Jackson,St,0.0,,street space,issued,01/09/2018,01/08/2018,01/09/2018,,01/09/2018,,,,,,,,1.0,,,,,,,,,,,,3.0,Chinatown,94133.0,"(37.79597012989304, -122.40563882878067)",1492907414048
201306199953,8,otc alterations permit,06/19/2013,3060,025,179,,Stillings,Av,,,re-roofing,complete,06/24/2013,06/19/2013,06/19/2013,06/24/2013,06/19/2013,,2.0,2.0,,,06/14/2014,7900.0,7900.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,7.0,West of Twin Peaks,94131.0,"(37.73433940004959, -122.44383910662319)",1308585151187
201401226761,3,additions alterations or repairs,01/22/2014,3713,006,1,,Market,St,,,"steuart tower 5/f, 6/f- selective demolition of existing floor slab and structural elements as indicated, new construction to include addition of inter-connecting stairs, guardrails and structure as required. compliance with ordinance 155-13 not required.",complete,11/06/2014,01/22/2014,03/31/2014,11/06/2014,03/31/2014,,27.0,27.0,,,03/15/2017,93740.0,120000.0,office,0.0,office,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,6.0,Financial District/South Beach,94105.0,"(37.7938189474016, -122.3947973134319)",1330376164604
201504204064,8,otc alterations permit,04/20/2015,1737,014,1221,,Funston,Av,0.0,,"modification of elevator recall monitoring. install 1 smoke,1 heat detector,4 relay modules in elevator machine rm @ pkg structure. install 1 smoke, 1 heat detector in elevator shaft located on 3rd fl. (e) heat/smoke detectors @ elevator lobby -program for elevator recall function.#201311152055.",complete,11/03/2016,04/20/2015,07/31/2015,11/03/2016,07/31/2015,,3.0,3.0,,Y,07/25/2016,4016.41,5000.0,apartments,24.0,apartments,24.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,5.0,Inner Sunset,94122.0,"(37.76516353870788, -122.47103033867235)",1378622403669
M621690,8,otc alterations permit,09/11/2015,1790,001,3401,,Irving,St,,,street space,issued,09/11/2015,09/11/2015,09/11/2015,,09/11/2015,,,,,,,,1.0,,,,,,,,,,,,4.0,Sunset/Parkside,94122.0,"(37.76255135421255, -122.49443136815704)",1395418114352
M417607,8,otc alterations permit,08/15/2013,0543,016,1870,,Green,St,,,street space,issued,08/15/2013,08/15/2013,08/15/2013,,08/15/2013,,,,,,,,1.0,,,,,,,,,,,,2.0,Marina,94123.0,"(37.79712651756205, -122.42992506677183)",1314344235180
201602190053,8,otc alterations permit,02/19/2016,3705,055,845,,Market,St,0.0,,"fire alarm t.i. add (1) speaker/strobe, (1) duct detector & (1) relay. t.i. pa# 201509177248. n/a ordinance #155-13",complete,03/01/2016,02/19/2016,02/19/2016,03/01/2016,02/19/2016,,8.0,8.0,,Y,02/13/2017,8000.0,8000.0,retail sales,0.0,retail sales,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,6.0,South of Market,94103.0,"(37.78409697317651, -122.40610191652476)",1413334472807
M826067,8,otc alterations permit,08/31/2017,1276,017,183,,Parnassus,Av,,,street space,issued,08/31/2017,08/31/2017,08/31/2017,,08/31/2017,,,,,,,,1.0,,,,,,,,,,,,5.0,Haight Ashbury,94117.0,"(37.764331269609826, -122.45190383536952)",1477001241534
M654647,8,otc alterations permit,01/13/2016,0555,008,2008,,Vallejo,St,,,street space,issued,01/13/2016,01/13/2016,01/13/2016,,01/13/2016,,,,,,,,1.0,,,,,,,,,,,,2.0,Marina,94123.0,"(37.796068703339586, -122.43053786447709)",140906974176
201606160105,8,otc alterations permit,06/16/2016,1472,024,7630,,Geary,Bl,,,"unit #305:  bathroom and kitchen remodel, in kind.",complete,08/08/2016,06/16/2016,06/16/2016,08/08/2016,06/16/2016,,4.0,4.0,,,06/11/2017,30000.0,30000.0,apartments,18.0,apartments,18.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,1.0,Outer Richmond,94121.0,"(37.77988009907415, -122.50140120404198)",1426936242836
201712045424,8,otc alterations permit,12/04/2017,3005C,008,640,,Los Palmos,Dr,,,"comply with nov.#201720462. demo and installation of hardie plank siding throughout, in kind.",complete,12/22/2017,12/04/2017,12/04/2017,12/22/2017,12/04/2017,,3.0,3.0,,,12/04/2018,15000.0,30000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,7.0,West of Twin Peaks,94127.0,"(37.73521705034367, -122.45643903368341)",1489215149875
201501135668,8,otc alterations permit,01/13/2015,1156,018,1684,,Mcallister,St,,,to obtain final inspection for work approved under pa# 2005/08/03/9401. all work is complete.,issued,01/13/2015,01/13/2015,01/13/2015,,01/13/2015,,3.0,3.0,,,01/08/2016,1.0,1.0,apartments,3.0,apartments,3.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,5.0,Western Addition,94115.0,"(37.777875639765206, -122.43970523275961)",1367688280115
201503302236,8,otc alterations permit,03/30/2015,1887,001,3701,,Kirkham,St,,,"double roofing membrane in southeast corner, replace shingles and downspout.  all replace /repair in kind, no structural work. replace 22 ft of gutter, clean & seal rest of gutter. replact two skylights with tempered safety glass.",complete,06/17/2015,03/30/2015,03/30/2015,06/17/2015,03/30/2015,,2.0,2.0,,,03/24/2016,850.0,5000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,4.0,Sunset/Parkside,94122.0,"(37.75863636488577, -122.50071077169981)",1376044118851
